,A,B,C,D,E,F,G,H,I,J
0,81.43943402452001,64.83754095039735,93.56912732606436,28.364269845726476,82.83614853199933,63.87046657264055,22.956360366745187,29.30490329106805,23.154439240968948,66.38810024170418
1,23.645740784108305,30.826801557073846,29.35695386618421,73.8686042130446,55.84472198996772,42.917653204819054,64.19722097776571,30.756298325988496,41.79598897866833,89.74933165974585
2,74.28673881888929,91.65583016782969,32.63097074545629,61.392657358874224,21.558345954720703,36.39248012123606,73.79374919427396,7.565677874405397,36.27090151844229,27.037604093150026
3,97.99799596700734,87.73544882995724,60.48438710799774,36.43395525246833,74.63318494743625,34.414119748482165,48.1153925230714,52.2293325133104,4.595016627712711,76.04922371987587
4,65.20642244532593,16.25722756275314,91.16928621170398,55.334154453841,36.39562174615767,76.79320504652141,42.83176236894462,34.528828476043536,16.541490304025608,32.92570116503787
5,83.30533945339327,52.06733974987083,86.261191042286,23.370516480951142,8.344025256375742,42.23096630926254,0.9558386895319293,31.914561157354406,18.40870868931106,48.22553614666203
6,37.555546989218136,73.63873851809387,74.952844690145,96.01704503100859,63.269932889373095,92.29054854758675,75.68374404836118,72.49011293232448,40.91401693306766,75.67376499720035
7,46.4601583820342,14.887440982518886,19.293483519489396,83.58135907697611,6.355744436947141,89.80006871267362,59.23478387489678,12.069899498904824,16.45586658604331,66.23940241906129
8,22.367116345101124,22.131421883316904,38.78062288231059,7.750166445526341,40.91121398229306,12.239887674322503,84.30333856972253,55.129897176179824,38.6251950039107,44.25775248047905
9,74.36215127152434,15.141673342244012,59.65886569150398,47.33005794642193,39.08617403152269,70.3602035091294,62.16774445462006,32.63317041245648,26.091834878175547,89.77874667921077
10,14.055109514917351,16.611381623681844,91.04531136416306,4.336515424728571,20.556992086166936,91.8988881535168,10.435458806701082,71.15101164992822,51.76193475288539,68.31007743294866
11,24.176182967869753,60.924673995917324,97.98669920666536,75.87910007227836,15.11741735546166,52.715917472505424,37.0014946430699,30.94091769096654,27.663353483373644,69.88204704382598
12,15.482808758107257,48.51862815718161,89.6993572382349,56.38128799065464,61.08021670022452,75.82946001449761,33.0110177408827,14.618182983490158,34.554532834151864,6.821908465032922
13,50.895445375626345,36.49647445609408,32.47355102662055,56.963695666481115,69.76972157701815,32.804394448445976,42.38885018044949,97.12170397194785,65.96448446530532,80.77438436470331
14,34.834709044465306,89.35461896641425,89.1641689491868,3.478642553700162,36.57605180574352,52.35255483836298,66.68594120806922,99.81087257018379,85.54156020545656,85.10882336696773
15,63.12899581520327,43.754117704903315,58.461910703156114,10.00474498329641,61.45558580227405,5.973511775001938,17.203311451618998,20.386190359624123,81.4514127937471,57.62478084892345
16,22.46327761520486,45.6318251848299,15.582319235493259,90.84750356896912,43.71836866755109,24.260582674017883,49.619788379093585,0.05862688118892789,44.078255513229934,21.816282249996622
17,88.48067801778899,5.192138522704715,82.98322620807348,68.13784229709559,20.92302166436941,57.44752154864773,56.90391180973569,39.04503969569022,48.077077832174595,90.95809425309378
18,89.28089160803715,52.81532083511732,85.32807740255986,45.67497118853054,31.398770406106525,16.13029567486175,49.787761434872934,63.251706678966904,31.5505236086416,63.63031102087577
19,17.348479503331703,51.225328060383724,78.44249695858082,61.475367558003725,86.30296095484326,13.520773402844256,0.005736043359516607,83.29074731945177,28.477630433922386,80.35037780708578
20,93.18280283772819,38.54800340247291,5.02811347496559,68.32365667210013,66.27867190268304,41.13355481121494,19.124943722883224,33.67472890289703,27.72038034704658,76.05754042571418
21,46.02167885393412,81.60677087713024,1.4939852276940169,82.674361474202,45.37740506910309,59.01058579015077,70.52172424349999,29.885723047214253,31.535992109828136,97.03221696358952
22,24.360471721407517,19.64800594300926,2.895893676500161,45.387152353706796,63.50434498551644,1.1438033802216974,81.18227459253364,5.121499746682046,23.486583887127733,84.0625178137371
23,38.005058590970165,53.52157441373502,84.65507064016857,9.44474615968831,3.458403403885235,64.10480593332584,70.50874394967998,12.903646569807382,82.94814990121307,28.927807044181485
24,61.56083550102029,50.705122989471654,2.7274996286899222,6.439098773795104,91.6782099395641,72.71379695873031,97.40007472782919,48.5667316773998,2.262243036017819,22.376001768647104
25,99.0981822861971,52.425613004685346,90.30349271090284,87.94028373205903,20.507439416318583,66.3522565151614,39.94201940308201,0.13184449300248646,45.24175949429989,61.4459647195547
26,40.84178229022742,97.19444778004875,30.218022732811768,78.73900627188651,72.81153329626315,92.93247334936422,40.32263203194978,78.36294078851664,44.25320381495531,93.87736407276788
27,55.19417459045115,77.53233570347359,3.4414144256679435,87.03707652020375,8.456523843875829,82.54839717539161,69.27233252050317,32.862381339168614,6.325262448320245,40.303401136656134
28,68.71197935379315,43.584824364928764,53.71617474943672,7.455299668916748,82.61024724183777,10.903620862778862,39.284726328366894,81.3073404220794,84.63746193826928,19.511113200197727
29,87.26710914142238,19.810992518635707,78.99013380564153,34.826881672225326,65.63153743221343,31.282706483719547,69.22248133892039,65.83665178308647,48.263782639905926,93.66183875264088
